標準症狀,分類,排序,詞表層級,目錄排序,目錄症狀,目錄節,來源行,來源,條目數,空推薦穴位數,備註
溢淚,五官科,132,目錄標準詞,130,溢淚(迎風流淚),第一節眼病,6390,董氏奇穴治療析要,0,0,
眼瞼下垂,五官科,133,目錄標準詞,131,兩眼睜不開(上瞼下垂),第一節眼病,6423,董氏奇穴治療析要,0,0,
散光,五官科,134,目錄標準詞,132,散光,第一節眼病,6468,董氏奇穴治療析要,1,1,
眼球歪斜,五官科,135,目錄標準詞,133,眼球歪斜及複視,第一節眼病,,董氏奇穴治療析要,0,0,
複視,五官科,136,目錄標準詞,133,眼球歪斜及複視,第一節眼病,,董氏奇穴治療析要,0,0,
青光眼,五官科,137,目錄標準詞,134,青光眼,第一節眼病,,董氏奇穴治療析要,2,1,
飛蚊症,五官科,138,目錄標準詞,135,飛蚊症,第一節眼病,6541,董氏奇穴治療析要,2,1,
其他眼病,五官科,139,目錄標準詞,136,其他眼病,第一節眼病,6559,董氏奇穴治療析要,1,1,
頭痛,痛症,140,目錄標準詞,999,頭痛,,,人工校訂,0,0,
鼻乾及流涕,五官科,140,目錄標準詞,137,鼻乾及流涕,第二節鼻病,6594,董氏奇穴治療析要,0,0,
鼻塞,五官科,141,目錄標準詞,138,鼻塞,第二節鼻病,6609,董氏奇穴治療析要,3,1,
過敏性鼻炎,五官科,142,目錄標準詞,139,過敏性鼻炎,第二節鼻病,6668,董氏奇穴治療析要,1,0,
鼻淵,五官科,143,目錄標準詞,140,鼻蓄膿症(鼻淵、鼻涕倒流),第二節鼻病,6699,董氏奇穴治療析要,0,0,
鼻涕倒流,五官科,144,目錄標準詞,140,鼻蓄膿症(鼻淵、鼻涕倒流),第二節鼻病,6699,董氏奇穴治療析要,0,0,
酒渣鼻,五官科,145,目錄標準詞,141,酒渣鼻,第二節鼻病,6719,董氏奇穴治療析要,2,1,
流鼻血,五官科,146,目錄標準詞,142,流鼻血(鼻衄),第二節鼻病,6730,董氏奇穴治療析要,0,0,
鼻衄,五官科,147,目錄標準詞,142,流鼻血(鼻衄),第二節鼻病,6730,董氏奇穴治療析要,0,0,
中耳炎,五官科,148,目錄標準詞,143,中耳炎,第三節耳病,6769,董氏奇穴治療析要,0,0,
耳脹,五官科,149,目錄標準詞,144,耳內脹,第三節耳病,6788,董氏奇穴治療析要,0,0,
耳鳴,五官科,150,目錄標準詞,145,耳鳴,第三節耳病,6802,董氏奇穴治療析要,2,1,
聾啞,五官科,151,目錄標準詞,146,聾啞,第三節耳病,6850,董氏奇穴治療析要,2,1,
顳頜關節紊亂,五官科,152,目錄標準詞,147,下頜骨痛(口不能張、顳頜關節紊亂症),第四節口齒疾病,6872,董氏奇穴治療析要,0,0,
舌下腫,五官科,153,目錄標準詞,148,舌下腫,第四節口齒疾病,6915,董氏奇穴治療析要,1,1,
口瘡,五官科,154,目錄標準詞,149,口內生瘡(口腔潰瘍),第四節口齒疾病,6930,董氏奇穴治療析要,1,0,
牙痛,五官科,155,目錄標準詞,150,牙痛,第四節口齒疾病,6967,董氏奇穴治療析要,1,0,
喉痛,五官科,156,目錄標準詞,151,喉痛(喉炎),第五節咽喉疾病,7031,董氏奇穴治療析要,0,0,
喉炎,五官科,157,目錄標準詞,151,喉痛(喉炎),第五節咽喉疾病,7031,董氏奇穴治療析要,0,0,
魚骨刺喉,五官科,158,目錄標準詞,152,魚骨刺喉,第五節咽喉疾病,7088,董氏奇穴治療析要,1,0,
梅核氣,五官科,159,目錄標準詞,153,梅核氣,第五節咽喉疾病,7118,董氏奇穴治療析要,2,1,
失音,五官科,160,目錄標準詞,154,失音,第五節咽喉疾病,7137,董氏奇穴治療析要,1,1,
經痛,婦兒科,161,目錄標準詞,155,痛經,第一節婦科病,7176,董氏奇穴治療析要,0,0,
崩漏,婦兒科,162,目錄標準詞,156,崩漏,第一節婦科病,7228,董氏奇穴治療析要,3,1,
月經不調,婦兒科,163,目錄標準詞,157,月經不調及閉經,第一節婦科病,7255,董氏奇穴治療析要,1,0,
赤白帶,婦兒科,164,目錄標準詞,158,赤白帶,第一節婦科病,7316,董氏奇穴治療析要,2,1,
陰腫,婦兒科,165,目錄標準詞,159,陰腫,第一節婦科病,7362,董氏奇穴治療析要,1,0,
子宮炎,婦兒科,166,目錄標準詞,160,子宮炎(陰道炎),第一節婦科病,,董氏奇穴治療析要,1,0,
陰道炎,婦兒科,167,目錄標準詞,160,子宮炎(陰道炎),第一節婦科病,,董氏奇穴治療析要,0,0,
子宮肌瘤,婦兒科,168,目錄標準詞,161,子宮肌瘤,第一節婦科病,7423,董氏奇穴治療析要,2,0,
輸卵管不通,婦兒科,169,目錄標準詞,162,輸卵管不通,第一節婦科病,,董氏奇穴治療析要,3,1,
久年不孕,婦兒科,170,目錄標準詞,163,久年不孕,第一節婦科病,7494,董氏奇穴治療析要,3,1,
難產,婦兒科,171,目錄標準詞,164,難產,第一節婦科病,7566,董氏奇穴治療析要,2,1,
兒科,婦兒科,172,目錄標準詞,165,兒科,第二節兒科,,董氏奇穴治療析要,0,0,
皮膚病,皮膚外科,173,目錄標準詞,166,皮膚病,皮膚外科,7653,董氏奇穴治療析要,1,1,
皮膚敏感,皮膚外科,174,目錄標準詞,167,皮膚敏感,皮膚外科,7680,董氏奇穴治療析要,2,1,
牛皮癬,皮膚外科,175,目錄標準詞,168,牛皮癬,皮膚外科,7703,董氏奇穴治療析要,2,1,
青春痘,皮膚外科,176,目錄標準詞,169,青春痘,皮膚外科,7734,董氏奇穴治療析要,3,1,
蕁麻疹,皮膚外科,177,目錄標準詞,170,風疹塊(蕁麻疹),皮膚外科,7756,董氏奇穴治療析要,4,0,
風疹,皮膚外科,178,目錄標準詞,170,風疹塊(蕁麻疹),皮膚外科,7756,董氏奇穴治療析要,0,0,
溼疹,皮膚外科,179,目錄標準詞,171,溼疹,皮膚外科,7793,董氏奇穴治療析要,2,1,
異位性皮炎,皮膚外科,180,目錄標準詞,172,異位性皮炎,皮膚外科,7834,董氏奇穴治療析要,1,0,
其他皮膚病,皮膚外科,181,目錄標準詞,173,其他皮膚病,皮膚外科,7864,董氏奇穴治療析要,0,0,
痔瘡,皮膚外科,182,目錄標準詞,174,痔瘡,皮膚外科,7892,董氏奇穴治療析要,0,0,
手指麻,其他疾病,183,目錄標準詞,175,手指麻,第一節四肢軀幹,,董氏奇穴治療析要,0,0,
手抽筋,其他疾病,184,目錄標準詞,177,手抽筋,第一節四肢軀幹,8028,董氏奇穴治療析要,2,1,
兩手拘攣,其他疾病,185,目錄標準詞,178,兩手拘攣,第一節四肢軀幹,8051,董氏奇穴治療析要,2,1,
腳抽筋,其他疾病,186,目錄標準詞,179,腳抽筋,第一節四肢軀幹,,董氏奇穴治療析要,1,0,
腳痠軟脹,其他疾病,187,目錄標準詞,180,腳痠軟、發脹,第一節四肢軀幹,,董氏奇穴治療析要,0,0,
腿無力,其他疾病,188,目錄標準詞,181,腿軟無力,第一節四肢軀幹,8146,董氏奇穴治療析要,0,0,
腳趾麻,其他疾病,189,目錄標準詞,183,腳趾麻,第一節四肢軀幹,8195,董氏奇穴治療析要,2,1,
手腳麻及麻痺,其他疾病,190,目錄標準詞,184,手腳麻及麻痺,第一節四肢軀幹,8215,董氏奇穴治療析要,1,1,
四肢顫抖,其他疾病,191,目錄標準詞,185,四肢顫抖,第一節四肢軀幹,8241,董氏奇穴治療析要,2,0,
脊椎側彎,其他疾病,192,目錄標準詞,187,脊椎畸形(脊柱側彎),第二節腰背病,,董氏奇穴治療析要,0,0,
脊椎骨刺,其他疾病,193,目錄標準詞,188,脊椎骨刺,第二節腰背病,8335,董氏奇穴治療析要,1,1,
酒醉,其他疾病,194,目錄標準詞,189,酒醉,第三節其他,,董氏奇穴治療析要,1,1,
解暈針,其他疾病,195,目錄標準詞,190,解暈針,第三節其他,8408,董氏奇穴治療析要,1,1,
解氣血錯亂,其他疾病,196,目錄標準詞,191,解氣血錯亂,第三節其他,8433,董氏奇穴治療析要,1,1,
昏迷,其他疾病,197,目錄標準詞,192,昏迷,第三節其他,8458,董氏奇穴治療析要,2,1,
脂肪瘤,其他疾病,198,目錄標準詞,193,脂肪瘤,第三節其他,8478,董氏奇穴治療析要,1,0,
磨牙,其他疾病,199,目錄標準詞,194,睡眠中咬牙,第三節其他,8518,董氏奇穴治療析要,0,0,
疲勞,其他疾病,200,目錄標準詞,195,疲勞,第三節其他,,董氏奇穴治療析要,1,1,
解毒,其他疾病,201,目錄標準詞,196,解毒,第三節其他,8587,董氏奇穴治療析要,1,1,
