穴名,部位代碼,部位,身體分區,穴號,取穴定位,針法,主治關鍵字,董楊思維,備註,穴位圖,詳細筆記,頁碼
靈骨穴,二二,二二部位,手掌穴位,圖2-11,在手背拇指與食指叉骨間，第一掌骨與 第二掌骨接合處，與重仙穴相通。；拳手取穴，在拇指、食指叉骨間，第一掌 骨第二掌骨接合處，距大白穴一寸二分，與重仙穴 相通。；靈骨之取穴法，緊貼骨緣下針，效果尤佳。必須立掌，虎口向 上，針須一寸至一寸半以上，所謂治下焦如權，非重不沉，治療坐骨神經痛必須深 針，效果令人滿意。,用一寸五分至二寸針，針深可透過重仙 圖2-11 靈骨穴 穴（過量針）。,"坐骨神經痛,腰痛,腳痛,半身不遂,偏頭痛,耳鳴,耳聾,半面神經麻痺,骨骼脹大,婦女經脈不調,難產,背痛,脊椎骨痛,小便痛",腳難舉抬（無力）、腹脹、肘痛、鼠蹊脹痛、頭暈、肩痛不舉、食慾不 振、脫肛、背痛、膝痛、腰痛、聽力不足、胸部打傷、慢性咳嗽、上腹脹悶。網球肘、 腳跟痛。,孕婦禁針。,images/圖2-11_靈骨穴.jpg,notes/靈骨穴.md,72
上白穴,二二,二二部位,手掌穴位,圖2-13,在手背面，食指與中指叉骨之間，距指骨 與掌骨接合處下五分。；手背向上，距指骨與掌骨接合處下五分， 食指骨與中指骨之間是穴。；在手背面，食指與中指叉骨之間，與大白穴平行，距指骨與掌骨 接合處下五分。,一寸針，針深三分至五分。,"眼角發紅,坐骨神經痛,胸下痛,腰背痛,肩背痛,眼痠脹,頸痛,腳無力",腰連背痛、肩背痛、眼痠脹、易疲勞、患側之手腕（橈側）扭傷、頸 痛（雙側並針）、腳無力。,,images/圖2-13_上白穴.jpg,notes/上白穴.md,76
下白穴,二二,二二部位,手掌穴位,圖2-15,在手背小指掌骨與無名指掌骨之間，距指骨與掌骨接連處一寸五分。；拳手取穴，當小指掌骨與無名指掌骨之間， 距指骨與掌骨一寸五分（即中白穴後一寸）是穴。,針深三分至五分。,"牙齒酸,肝微痛,近視眼,腰骨痛,坐骨神經痛,腎絞痛,腎結石,膽絞痛,閃腰岔氣",治少陽經走向之坐骨神經痛頗效。治腎絞痛、腎結石甚效。治膽 絞痛亦甚效。治閃腰岔氣亦甚效，治環腰一週痛甚效。,,images/圖2-15_下白穴.jpg,notes/下白穴.md,78
腕順一穴,二二,二二部位,手掌穴位,圖2-16,小指掌骨外側，距手腕橫紋二寸 五分。；在小指掌骨外側，距手腕橫紋二寸五 分處是穴。；腕順一位於小腸經之後溪穴後五分處。手術：針一寸至一 寸半。,針深二至四分。,"腎虧頭痛,眼花,坐骨神經痛,疲勞,腎臟炎,四肢骨腫,腰兩邊痛,背痛,近視眼,耳鳴,重聽,小腹脹,腰圍痛",治療足太陽經走向之坐骨神經痛、腰椎痛、腿彎痛、腳掌痛、耳鳴、 重聽、小腹脹、腰圍痛。,,images/圖2-16_腕順一穴.jpg,notes/腕順一穴.md,80
手解穴,二二,二二部位,手掌穴位,圖2-18,小指掌骨與無名指掌骨之間，握 拳時小指尖觸及之處。；手心向上，在小指掌骨與無名指 掌骨之間，握拳時小指尖觸及掌處是穴。；手解即心經之少府穴，在小指掌骨與無名指掌骨之間，握拳手 心向上，小指尖觸及掌處是穴。,針深三分至五分，停針十至廿分 鍾即解，或以三稜針出血即解。,"暈針,針後麻木,氣血錯亂刺痛,皮膚瘙癢",治療皮膚瘙癢甚效。,,images/圖2-18_手解穴.jpg,notes/手解穴.md,82
土水穴,二二,二二部位,手掌穴位,圖2-19,在拇指第一掌骨之內側。；在拇指第一掌骨之內側，距掌骨小頭一寸處 一穴，後五分一穴，再後五分一穴，共三穴。；在拇指第一掌骨之內側黑白肉際、距 掌骨小頭一寸處一穴，後五分一穴，再後五分一穴，共 圖2-19 土水穴 三穴。 楊維傑新土水穴：土水穴計有三個穴位，均位於手魚部位；中央之土水中穴 即魚際穴，自魚際至大指本節之中央點為土水上穴，自魚際至手腕橫紋之中央為 土水下穴。手術：貼骨針深五分至一寸。,針深二至五分。,"胃炎,久年胃病,手指手掌痛,手骨痛,氣喘,喉痛,肺炎",治氣喘甚效。治療喉痛甚效，治肺炎亦甚效。尚可治手指痛、手 掌痛、手骨痛。 現代解剖：肌肉：有外展拇短肌和拇對掌肌。血管：當拇指頭靜脈迴流支。 神經：布有前臂外側皮神經和橈神經淺支混合支。,,images/圖2-19_土水穴.jpg,notes/土水穴.md,82
中白穴,二二,二二部位,手掌穴位,,手背小指掌骨與無名指掌骨之間，距指骨與掌骨接連處五分，拳手取穴。針深三至五分。,,"腎臟病腰痛,腰痠,背痛,頭暈,眼散光,疲勞,坐骨神經痛,足外踝痛,四肢浮腫,脊椎骨痛",在手少陽經，透過「三焦與腎通」補腎治腰痛；位在手腕腰臍線，對應腎臟；中白下白倒馬並用主治腎虧各病，療效極佳。,此穴由 OCR 誤歸入上白穴段落；中白下白並用效更佳,images/noref_中白穴.jpg,notes/中白穴.md,
腕順二穴,二二,二二部位,手掌穴位,,小指掌骨外側，距手腕橫紋一寸五分（腕順一穴後一寸）。針深一寸至一寸半。,,"鼻出血,腎虧腰痛,耳鳴,重聽,小腹脹,腰圍痛,腿彎緊痛,腳掌痛",理同腕順一，補腎治腎虧各病；手足太陽相通治腰背痛腿彎緊痛；腕順一二並用補腎效更佳，腎虛牙痛眼痛亦有效；原注「一次用一穴」，臨床二穴並用無礙。,原注腕順一二以一次用一穴為宜，臨床並用亦可,,notes/腕順二穴.md,
其門穴,三三,三三部位,前臂穴位,圖3-4,在橈骨之外側，手腕橫紋後兩寸處。；當橈骨之外側，距手腕橫紋後兩寸處是穴。；臂側放，自其角向其門針斜刺，約與皮下 平行，針人五分至一寸。 圖3-4 其門穴,臂側放，針斜刺約與皮下平行，針人二至五分。,"婦科經脈不調,赤白帶下,大便脫肛,痔瘡痛,頑固性便秘,小腹脹氣",頑固性便秘、小腹脹氣。,,images/圖3-4_其門穴.jpg,notes/其門穴.md,90
其角穴,三三,三三部位,前臂穴位,圖3-5,在橈骨之外側，手腕橫紋後四寸處。；在其門穴後二寸處取之。；臂側放，自其角向其門針斜刺，約與皮下 平行，針人五分至一寸。 圖3-5 其角穴,同其門穴。,"婦科經脈不調,赤白帶下,大便脫肛,痔瘡痛,頑固性便秘,小腹脹氣",頑固性便秘、小腹脹氣。 穴名新釋：“其”，這也，所謂也。“角”，肝木之音也，本 穴在大腸經上，大腸經與肝經相通，此穴能治婦科經脈不 調，赤白帶下，這些病多與肝經不調有關。 定位及取穴：臂側放，自其角向其門針斜刺，約與皮下 平行，針人五分至一寸。 圖3-5 其角穴 現代解剖：肌肉：橈肱肌、短伸拇肌、外展拇長肌。血 管：後骨間動脈、橈掌骨動脈與靜脈。神經：橈骨神經、後肱下側肱下神經。,,images/圖3-5_其角穴.jpg,notes/其角穴.md,90
其正穴,三三,三三部位,前臂穴位,圖3-6,在橈骨之外側，手腕橫紋後六寸處。；在其門穴後四寸，即其角穴後二寸處取之。；臂側放，自其正向其角針斜刺，約與皮下 平行，針入五分至一寸。,同其門穴。 運用：其門、其角、其正三穴同用（即一用三針）。 $8,"婦科經脈不調,赤白帶下,大便脫肛,痔瘡痛",頑固性便秘、小腹脹氣。,,images/圖3-6_其正穴.jpg,notes/其正穴.md,90
火串穴,三三,三三部位,前臂穴位,圖3-7,在手背腕橫紋後三寸，兩筋骨間陷中。；手平伸，掌向下，從手腕橫紋中央直後三寸處取之；握拳屈肘掌心向 下，現溝凹處是穴位。；手平伸，掌向下，從手腕橫紋中 央直後三寸處取之；握拳屈肘掌心向下，現溝凹處 是穴位。即三焦經之支溝穴。針深五分至八分。,針深三分至五分。 運用：左手下臂痛針右手穴；右手下臂痛針左 手穴。,便秘，心悸，手下臂痛,呼吸困難、胸脘痞悶、脅肋疼痛、肋間神經痛。脅痛、踝關節扭傷、 落枕、急性腰扭傷、腰疼難轉側。咽喉腫突然不能出聲、熱病汗不出、側身“膽 經”的坐骨神經痛。,,images/圖3-7_火串穴.jpg,notes/火串穴.md,90
火陵穴,三三,三三部位,前臂穴位,圖3-8,在火串穴後兩寸。；手撫胸取穴，在火串穴後兩寸處取之。；穴在三焦經，手撫胸取穴，在火 串穴（支溝穴）後兩寸處取之。,針深五分至一寸。,胸痛及發悶，發脹，手抽筋，董師補充：腿坐骨神經痛,穴在三焦經，與心包相表裡，治胸悶胸痛胸脹皆有效。由於少陽經經絡走向，本穴亦治脅肋，可謂胸脅脹痛皆治。 治療手抽筋，以對側為主，系水平對應之應用。也有以筋治筋的作用。,,images/圖3-8_火陵穴.jpg,notes/火陵穴.md,92
火山穴,三三,三三部位,前臂穴位,圖3-9,在火陵穴後一寸五分。；手撫胸取穴，在火陵穴後一寸五分處 取之。；火陵在火串（支溝）後二寸，火 山在火陵後寸半，但取穴略有不同，取火串，手平 圖3-9 火山穴 伸，取火陵、火山則手撫胸取穴。,針深一寸至一寸五分。 運用：左手抽筋取右手穴；右手抽筋取左手 穴。胸部痛及發悶、發脹則火陵、火山兩穴同時用 針，但注意只宜單手取穴，不可雙手同時用針。,同火陵穴,治少陽經走向之坐骨神經痛，效果亦佳。,,images/圖3-9_火山穴.jpg,notes/火山穴.md,92
