穴名,部位代碼,部位,身體分區,穴號,取穴定位,針法,主治關鍵字,董楊思維,備註,穴位圖,詳細筆記,頁碼
六完穴,六六,六六部位,腿後側穴位,圖6-7,在第四蹠骨與第五蹠骨之間，距蹠骨與趾 骨關節五分。；當第四蹠骨與第五蹠骨之間，距蹠骨與趾 骨關節五分處是穴。；六完穴位置在膽經之俠溪穴後五 分，一說與俠溪相符（參見拙著《針灸經穴學》俠溪穴 142 圖 6-7 六完穴 體表定位）。針深五分。水曲穴位置與膽經之臨泣穴相符，水曲穴在第四、五趾 骨間陷中，應是臨泣穴（參見拙著《針灸經穴學》臨泣穴取穴），根據《針灸大成》 言臨泣去俠溪寸半，則六完穴應在俠溪後五分。,針深三分至五分。,止血(包括跌傷，刀傷出血或是打針血流不止），偏頭痛,本穴為木經水穴，有補水潤木補肝腎之功。 本穴對出血遷延不止有止血之效，肝膽表裡，肝主藏血。本穴屬水，水能滅火，止血藥亦多為黑色，故止血甚效。,哮喘、肺病、痰多、體弱均禁用此穴。,images/圖6-7_六完穴.jpg,notes/六完穴.md,143
水曲穴,六六,六六部位,腿後側穴位,圖6-8,在六完穴後一寸處。；當第四蹠骨與第五蹠骨之間，距六完穴一 寸處是穴。；水曲穴位置與膽經之臨泣穴相符， 水曲穴在第四、五趾骨間陷中，應是臨泣穴（參見拙 著《針灸經穴學》臨泣穴取穴）。針深五分至一寸。 圖6-8 水曲穴,針深三分至五分。,腰痛，四肢浮腫，腹脹，頸項神經痛，婦科子宮多病,治耳鳴、眼癢療效甚好。治手腕疼痛或無力亦頗有效。亦能治全 身骨痛、神經痛、手骨痛。尚能治肩痛、腿筋緊及肌肉萎縮，肌肉麻木。,,images/圖6-8_水曲穴.jpg,notes/水曲穴.md,143
火連穴,六六,六六部位,腿後側穴位,圖6-9,在第一蹠骨內側，距趾骨與蹠骨關節後一寸五分。；當第一蹠骨內側，距趾骨與 蹠骨關節一寸五分。；在第一蹠骨內側，距趾骨與蹠骨關節後一寸五分。火連穴位置 與脾經之太白穴位置相符，針橫第一蹠骨底緣刺人。但貼骨進針，療效尤佳。,針深五分至八分。針橫第 一蹠骨底緣刺入。,血壓高而引起之頭暈眼昏，心跳，心臟衰弱,本穴治前頭痛、眉稜骨痛療效甚佳。,單腳取穴，孕婦禁針。,images/圖6-9_火連穴.jpg,notes/火連穴.md,145
火菊穴,六六,六六部位,腿後側穴位,圖6-10,在火連穴後一寸。；當第一蹠骨內側，在火連穴 後一寸處是穴。；火菊穴位置與脾經之公孫穴位置平行，沿蹠骨底緣扎人。而緊 貼骨頭，貼骨進針，效果佳。針治頭部病可針更深，效果尤佳。,針深五分至八分，針與蹠骨 成直角，沿蹠骨底緣扎入。,手麻、高血壓、頭暈、心跳、頸項僵硬、眼昏,治前頭痛、眉稜骨痛、眼皮垂下尤為常用。治急性胃腸炎，臍腹部 絞痛，心煩失眠，心痛心悸。經痛，月經不調，本穴有調血海和衝脈的作用。消痰 減肥，脾經絡穴可聯絡脾胃。,單腳取穴，孕婦禁針。,images/圖6-10_火菊穴.jpg,notes/火菊穴.md,145
火散穴,六六,六六部位,腿後側穴位,圖6-11,在火菊穴後一寸。；當第一蹠骨內側，距火菊穴 後一寸處是穴。；火散穴位置與腎經之然谷穴位置相符，亦以貼骨進針為主。,針深五分至八分。針橫第 一蹠骨底緣刺入。,頭痛，腦脹，眼角痛，腎虧，頭暈，眼花，腰痠，背痛,尚能治五更瀉、腰腎之病。,單腳取穴，孕婦禁針。 運用：火連、火菊、火散三穴可同 圖6-11 火散穴 146 時下針，立治以上各症及腦瘤、腦膜炎，但注意單腳取穴，雙腳不可同時 下針。,images/圖6-11_火散穴.jpg,notes/火散穴.md,146
水相穴,六六,六六部位,腿後側穴位,圖6-12,在內踝骨直後，跟筋前緣陷處。；在跟筋前緣陷處，當內踝骨尖之直後二寸處是穴。；水相穴位置與腎經 之太溪穴位置相符，治療病症亦以腎 經為主，若針刺時位置稍後，貼筋（跟 腱）針刺，效果更佳。,針深三分至五分。或過量針亦可（即針沿跟筋前緣扎透過去）。,腎臟炎，四肢浮腫，腎虧而引起之腰痛，脊椎骨痛，婦科產後風，白內障,糖尿、蛋白尿、腎功能衰竭，多見脾腎兩虛之證，故能以本穴治之。 治療婦女經痛帶下，月經不調，男子陽痿，遺精。治療尿頻、遺尿、癃閉、水腫等 症。能治腎虛頭痛眩暈，治腎絞痛。治五更瀉亦極有效。牙痛要穴、足跟痛。,,images/圖6-12_水相穴.jpg,notes/水相穴.md,148
水仙穴,六六,六六部位,腿後側穴位,圖6-13,在內踝骨直後之下二寸，跟筋前緣陷處。；在水相穴直下二寸處取穴。；水仙穴位於水相穴下 二寸處。,針深五分。,同水相穴及腎虧之背痛,"仙穴位於相穴下處,此處腎經繞過圈，為腎經經旺盛之處。 本穴主治與“水相”同,常與“水相”倒馬並用,治療腎虧各病。原理詳見“相穴”。![](images/22d68e1b6903cbf7800c9c1169bcbe7db6c248202cd1d1ab63d7529f0eb7f78a.jpg)",,images/圖6-13_水仙穴.jpg,notes/水仙穴.md,150
水晶穴,六六,六六部位,腿後側穴位,圖6-14,在內踝尖之直下二寸。；當內踝尖之直下二寸處 是穴。；在內踝尖之直下二寸，貼骨針五分至一寸。,針五分至一寸。,子宮炎，子宮脹，子宮瘤，小腹氣腫脹悶,,,images/圖6-14_水晶穴.jpg,notes/水晶穴.md,150
花骨一穴,六六,六六部位,腿後側穴位,圖6-15,在足底第一與第二蹠骨之間。；當足底第一蹠骨與第二蹠骨之間，距趾間叉口五分一穴，又五分一穴， 再五分一穴，再八分一穴，共四穴。；當足底第一蹠骨與第二蹠骨之間，第一穴距趾間叉口五分，適 與行間穴相對。又五分為第二穴，再五分為第三穴，適與太沖穴相對。再八分為 第四穴，共四穴。第三穴適與太沖穴相對，第二穴則適在此二穴之中間，第四穴 在第三穴後八分處。,針深五分至一寸。 • 圖6-15 花骨一六,沙眼，眼角紅，眼皮炎，眼迎風流淚，怕光，眉酸骨痛，鼻骨痛，頭痛，牙,本穴組是治療眼病及眼周病專穴。 本穴組也是治療五官病有效穴。能治療鼻骨痛、頭痛、牙痛、耳鳴、耳聾。,,images/圖6-15_花骨一穴.jpg,notes/花骨一穴.md,150
花骨二穴,六六,六六部位,腿後側穴位,圖6-16,在足底第二與第三蹠骨之間。；當足底第二與第三蹠骨之間，距趾間叉口一寸一穴，又五分一穴，共二穴。；有兩穴，第一個穴距離趾間叉口一寸，相對於腳背陷谷與內庭 之間的腳底，第二個穴與第一個穴相距五分，距離趾間叉口一寸半，相對於腳背 陷谷前面五分。,針深五分至一寸。 圖6-16 花骨二穴,手指無力，手臂痛,尚能治手臂不舉甚效。,,images/圖6-16_花骨二穴.jpg,notes/花骨二穴.md,152
花骨三穴,六六,六六部位,腿後側穴位,圖6-17,在足底第三與第四蹠骨之間。；當足底第三蹠骨與第四蹠骨之間，距趾間叉口二寸處是穴。；花骨三穴僅有一穴，與木留穴相對，木留穴在腳背面，本穴在腳 底。木留穴與門金穴平行，位於足部第三趾與第四趾之間。,針深五分至一寸。 圖6-17 花骨三穴,腰痛，坐骨神經痛，脊椎骨痛,亦能治白眼發赤。,,images/圖6-17_花骨三穴.jpg,notes/花骨三穴.md,153
花骨四穴,六六,六六部位,腿後側穴位,圖6-18,在足底第四與第五蹠骨之間。；在足底第四與第五蹠骨之間、距趾間叉口一寸半是穴。；本穴在足底第四與第五蹠骨之間、距趾間叉口一寸半是穴。與 膽經之地五會穴相對。,針深五分至一寸。 圖6-18 花骨四穴,脊椎骨痛，坐骨神經痛，小腹痛，胃痛，止血,本穴除可治脊椎骨痛、坐骨神經痛、小腹痛、胃痛，亦可治手發麻及腳發麻。 能止血者，透針之背面為六完穴。按：花骨一、二、三、四，依次排列，其主治有太極全息觀在內，花骨一治頭眼眉，花骨二治上肢，花骨三治中央腰脊，花骨四穴治小腹、坐骨神經（還能治胃痛及止血）等。,,images/圖6-18_花骨四穴.jpg,notes/花骨四穴.md,156
硬穴,六六,六六部位,腿後側穴位,,在第一蹠骨與第二蹠骨之間，距蹠骨與趾骨關節五分。；針法：針深三分至五分。,,心悸，頭暈，胎衣不下，骨骼脹大，下須痛（張口不靈），強心（昏迷狀態時使用)，子宮炎，子宮瘤,"【維傑新用】膝痛、經痛、前陰痛、眼痛、青光眼、失眠、病、尿留、尿道炎、膀胱炎、面肌痙攣、鼻血、帶狀皰疹、咀嚼肌痙攣、青光眼、小腹脹痛、肋間神經痛、多種婦科病。 本穴取名火硬,即指對心臟病變有很強的治療作用，主治項內說:“強心昏迷狀態時使用”，臨床應用確有特效，效果較人中尤佳，昏迷在針刺人中或內關無效時可針此穴。 由於有太沖脈行於穴位旁邊，針之有以脈治脈之作用，故能強心急救，其功能與地宗穴有異曲同工…",注意：孕婦禁針、禁灸,,notes/硬穴.md,
主穴,六六,六六部位,腿後側穴位,,在火硬穴上一寸。；針法：針深三分至五分。治手腳痛時，左用右穴，右用左穴。,,難產，骨骼脹大，心臟病而引起之頭痛，肝病，胃病，神經衰弱，心臟麻痺，手腳痛，子宮炎，子宮瘤,【維傑新用】經餘調整之新火主穴，治證甚多，且療效極佳。,注意：禁灸、孕婦禁針,,notes/主穴.md,
菊穴,六六,六六部位,腿後側穴位,,在火連穴後一寸。；針法：針深五分至八分，針與蹠骨成直角，沿蹠骨底緣扎入。,,手發麻，心跳，頭暈，腳痛，高血壓，頭腦脹，眼昏，眼皮發酸，頸項扭轉不靈,【維傑新用】治前頭痛、眉稜骨痛、眼皮垂下尤為常用。治急性胃腸炎，臍腹部絞痛，心煩失眠，心痛心悸。經痛，月經不調，本穴有調血海和衝脈的作用。消痰減肥，脾經絡穴可聯絡脾胃。 治療上述各症確有特效，餘臨床常以本穴治療前頭痛、眉稜骨痛、鼻骨痛甚效。本穴為脾經絡穴，面部前額屬足陽明，刺一絡可治兩經之病。且太極對應於前額及眼部。 能健脾絡胃，且太極對應於前額及眼部。餘用治療眼皮垂下甚效。,注意：單腳取穴，孕婦禁針,,notes/菊穴.md,
正筋穴,七七,七七部位,腿外側穴位,圖7-4,在足後跟筋中央上，距足底三寸五分。；當足後跟筋之正中央上，距足底三寸五分是穴。；當足後跟筋之正中央上，即太溪穴與崑崙 穴包圍的跟腱中央。距足底三寸五分是穴。可以坐針，趴 臥針之尤佳。,針深五分至八分（針透過筋，效力尤佳），體壯可 坐姿扎，體弱者應側臥扎。,脊椎骨閃痛，腰脊椎痛，頸項筋痛及扭轉不靈，腦骨脹大，腦積水,胃痙攣痛、腳抽筋、月經痛。,,images/圖7-4_正筋穴.jpg,notes/正筋穴.md,160
正宗穴,七七,七七部位,腿外側穴位,圖7-5,在正筋穴上二寸處。；當足後跟筋之正中央上，距正筋穴上二寸處 是穴。；正宗亦位於跟腱上，在正筋穴上二寸。可 以坐針，趴臥針之尤佳。 圖7-5 正宗六,同正筋穴。 運用：正筋、正宗兩穴相配用針。,同正筋穴,治療脊椎骨閃痛，腰脊椎痛、頸項筋痛及扭轉不靈、腦骨脹大、腦積水與正筋相同，屬區位取穴，為正筋之加強針。 就經絡而言，膀胱經行經頸項，又就“以筋治筋”而言，可見其間頗有關聯，因此以此二穴倒馬治療頸項強硬或疼痛，效果極佳。,,images/圖7-5_正宗穴.jpg,notes/正宗穴.md,163
正士穴,七七,七七部位,腿外側穴位,圖7-6,在正宗穴上二寸處。；當足後跟筋之正中央上，距正宗上二寸處是穴。；在正宗穴上二寸，正筋穴上四寸處。,針深五分至一寸。,肩背痛，腰痛，坐骨神經痛,本穴常與博球穴倒馬並用治背痛極有效。也可與正宗及正筋並用成大倒馬，加強治療頸、腰脊痛有特效。 本穴為膀胱經所過，治背痛、腰痛，坐骨神經痛有效。,,images/圖7-6_正士穴.jpg,notes/正士穴.md,163
圖7-6 正士穴,七七,七七部位,腿外側穴位,,在正士穴上二寸五分。；平臥，腳跟用軟墊墊高，當下腿後側，在正士穴正 上二寸五分，即腓腸肌之下緣是穴。；博球位置在膀胱經之承山穴下一寸半。,針一寸至二寸，以針尖抵骨效力最佳。 運用：與四花中穴配用，主治霍亂轉筋及腎虧。,,月經痛，各種跌打損傷，均可先針阿是，再針 162 圖7-7 博球穴 此穴。刺血，治療壽瘡甚效。,,,notes/圖7-6正士穴.md,163
一重穴,七七,七七部位,腿外側穴位,圖7-8,在外踝骨尖直上三寸向前橫開一寸。；當外踝尖直上三寸，向前橫開一寸處 是穴。；一重穴位置在懸鐘穴向前，即向 圖7-8一重穴 陽明經方向橫開一寸處。,針深一寸至二寸。,甲狀腺腫大（心臟病引起），眼球突出，扁桃腺炎，口歪眼斜（面神經麻痺），偏頭痛，痞塊，肝病，腦瘤，腦膜炎,大腿髖骨疼痛特效。脾發炎、脾腫大、脾病、脾硬化、乳發炎、乳腫 大、乳痛、乳房小葉增生、甲狀腺腫大、偏頭痛，三叉神經痛、面神經麻痺、睡中咬 牙及肩臂手腕痛、中風後遺症、腦震盪後遺症及腦性麻痺，踝痛或扭傷、腳趾痛。 可治落枕。 解說及發揮 1.三重穴位在少陽（膽）經、陽明（胃經）之間，治療少陽、陽明兩經合併之 病（如顏面神經麻痺）甚效。 2.本穴治肝脾之病，其原理與木鬥、木留類同。但此處之脾非指脾臟及…,,images/圖7-8_一重穴.jpg,notes/一重穴.md,66
二重穴,七七,七七部位,腿外側穴位,圖7-9,在一重穴上二寸。；當一重穴直上二寸處是穴。；在一重穴上二寸。即膽經光明穴 前一寸。,針深一寸至二寸。,同一重穴,大腿髖骨疼痛特效。脾發炎、脾腫大、脾病、脾硬化、乳發炎、乳腫 大、乳痛、乳房小葉增生、甲狀腺腫大、偏頭痛，三叉神經痛、面神經麻痺、睡中咬 牙及肩臂手腕痛、中風後遺症、腦震盪後遺症及腦性麻痺，踝痛或扭傷、腳趾痛。 可治落枕。,,images/圖7-9_二重穴.jpg,notes/二重穴.md,66
三重穴,七七,七七部位,腿外側穴位,圖7-10,在二重穴直上二寸。；當二重穴直上二寸處是穴。；在二重穴直上二寸。即膽經外 丘穴前一寸。,針深一寸至二寸。 運用：一重、二重、三重穴同下針（即所謂回馬針），為治上述各症之特效針。 Tos,同一重穴,大腿髖骨疼痛特效。脾發炎、脾腫 大、脾病、脾硬化、乳發炎、乳腫大、乳痛、乳房小葉 增生、甲狀腺腫大、偏頭痛，三叉神經痛、面神經麻 痺、睡中咬牙及肩臂手腕痛、中風後遺症、腦震盪 後遺症及腦性麻痺，踝痛或扭傷、腳趾痛。可治 圖7-10 三重穴 落枕。,,images/圖7-10_三重穴.jpg,notes/三重穴.md,66
四花上穴,七七,七七部位,腿外側穴位,圖7-11,在膝眼下三寸，胻骨外廉。 66；當外膝眼之下方三寸，在前脛骨肌與長總趾 伸肌起始部之間陷中是穴。；四花上穴與足三里平行，貼脆骨取穴 進針（足三里在犢鼻下三寸，距脛骨前嵴一橫指，當脛 圖7-11 四花上穴 骨前肌上，屈膝或平臥取穴。亦有在膝眼下三寸脛骨外緣取之者）。,針深二寸至三寸，針深二寸治哮喘，針深三 • 寸治心臟病。 運用：四花上穴配博球穴治轉筋霍亂，此時四花上 穴須針深三寸。,哮喘，牙痛，心跳，口內生瘤，頭暈，心臟病，轉筋霍亂,能治血管硬化、腸胃道出血、高血脂、顏面神經麻痺、顳頜關節紊 亂症、高低血壓，可利尿消腫。調整胃腸功能，治一切腸胃疾患。,,images/圖7-11_四花上穴.jpg,notes/四花上穴.md,66
四花中穴,七七,七七部位,腿外側穴位,圖7-12,四花上穴直下四寸五分。；當四花上穴直下四寸五分。；本穴位於胃經條口穴上五分。,三稜針出血治心臟血管硬化、急性胃痛、腸 炎、胸部發悶、肋膜炎。用毫針針深二寸至三寸，治哮 喘、眼球痛。,哮喘，眼球病，心臟炎，心臟血管硬化（心兩側痛），心臟麻痺（心悶難過，坐臥不安），急性胃痛，消骨頭之腫脹，三稜針治肺積水，肺結核，肺瘤，肺氣腫，毫針治肩胛痛，肘彎痛，食指痛,五十肩。轉筋傷筋，腰痛。筋急口噤，腰扭傷。調理腸胃。,,images/圖7-12_四花中穴.jpg,notes/四花中穴.md,169
四花副穴,七七,七七部位,腿外側穴位,圖7-13,四花中穴直下二寸半；當四花中穴直下二寸半處是穴。；四花副穴在下巨虛穴下一寸。 圖7-13 四花副穴,三稜針出血治心臟血管硬化、心臟麻痺、急性 胃痛、腸胃炎。 運用：四花副穴與四花中穴配合使用，治以上諸症 立即見效，但扎針時應對正血管，以見黑血為準。,同四花中穴,消骨頭腫脹。,,images/圖7-13_四花副穴.jpg,notes/四花副穴.md,170
四花下穴,七七,七七部位,腿外側穴位,圖7-14,四花副穴直下二寸半。；當四花副穴直下二寸五分處是穴。；穴在四花副穴直下二寸半。在四花 • 中穴下五寸。,針深五分至一寸（用細毫針）。,腸炎，腹脹，胃痛，浮腫，睡中咬牙,膝蓋及足跟骨骨刺。,,images/圖7-14_四花下穴.jpg,notes/四花下穴.md,172
腑腸穴,七七,七七部位,腿外側穴位,圖7-15,四花下穴直上一寸半。；當四花下穴直上一寸五分處是穴。；本穴在四花副穴直下一寸。在四花 中穴直下三寸半，條口穴之下三寸。,針深五分至一寸。 運用：通常為四花下穴之配穴，效力迅速，但不單 獨用針。,腸炎，腹脹，胃痛，浮腫，睡中咬牙,膝蓋及足跟骨骨刺。,,images/圖7-15_腑腸穴.jpg,notes/腑腸穴.md,172
四花裡穴,七七,七七部位,腿外側穴位,圖7-16,在四花中穴向裡橫開一寸二分，當脛骨之外緣。；在四花中穴向裡橫開一寸二分，至脛骨之外緣處是穴。；應該是四花中穴向裡橫開兩寸，否則就針在骨頭上，不可能 進針。 172,針深一寸五分至二寸。,,退化性膝關節炎（膝關節骨刺）。,,images/圖7-16_四花裡穴.jpg,notes/四花裡穴.md,172
四花外穴,七七,七七部位,腿外側穴位,圖7-17,在四花中穴向外橫開一寸五分。；當四花中穴向外橫開一寸五分處是穴。；四花外穴距四花中穴一寸五分。 圖7-17 四花外穴 173 約當豐隆穴旁。,針深一寸至一寸五分。 用三稜針出黑血，治急性腸胃炎、肋膜痛、胸部 發脹、哮喘、坐骨及其神經痛、肩臂痛、耳痛、慢性鼻 炎、頭痛、高血壓。,急性腸炎，牙痛，偏頭痛，臉部神經麻痺，肋膜痛,1.毫針 治療眼球脹痛、前額及太陽穴痛、下頜關節痛、胸肌痛、足背痛、高 脂血癥、頭痛、眩暈、失眠。 2.刺血 治偏頭痛、耳痛、肩臂痛、胸痛、脅肋痛，側面（膽經）之坐骨神經痛 及足跗痛。,,images/圖7-17_四花外穴.jpg,notes/四花外穴.md,173
上唇穴,七七,七七部位,腿外側穴位,圖7-18,在膝蓋下緣。；當膝蓋正中央下緣，髕骨韌帶上。,用三稜針刺膝蓋下緣髕骨韌帶上及其鄰近區，使出黑血，立即見效。 圖7-18 上唇穴、下唇穴,唇痛，白口症,能治白塞綜合徵、陰唇病。,,images/圖7-18_上唇穴.jpg,notes/上唇穴.md,176
下唇穴,七七,七七部位,腿外側穴位,圖7-18,在膝蓋下緣約一寸。；當膝蓋下緣約一寸處。；膝蓋下緣髕骨韌帶上圍上唇，上唇穴下一寸，即本穴。,同上唇穴。,同上唇穴,陰唇病變，口腔炎。能治白塞綜合徵。,,,notes/下唇穴.md,176
天皇穴,七七,七七部位,腿外側穴位,圖7-19,在脛骨頭之內側陷中，去膝關節二寸五分。；當膝下內輔骨下陷中，在脛骨頭之內側，去膝關節二寸五分是穴。；在脛骨頭之內側陷中，去膝關節二 寸。天皇穴距膝關節二寸半，則應在陰陵泉穴下五分 處（陰陵泉距膝關節二寸），餘貼骨進針。,針深五分至一寸。 運用：配天皇副穴治倒食病，胃酸過多。 176,胃酸過多，反胃（倒食病），腎臟炎，糖尿病，小便蛋白質，董師補充：心臟病，高血壓，心臟病所引起之頭暈，頭痛，臂痛，失眠,項部及胸膂強緊、小便不順、尿蛋白、腎臟炎、糖尿病、腎功能 衰竭。 董師 充：治療心臟病，高血壓、心臟病所引起之頭暈頭痛、肩痛、臂痛、失眠。,不宜灸，孕婦禁針。,images/圖7-19_天皇穴.jpg,notes/天皇穴.md,176
地皇穴,七七,七七部位,腿外側穴位,圖7-21,在脛骨之內側，距內踝骨七寸。；當脛骨之內側後緣，距內踝上七寸處是穴。；在脛骨之內側，在內踝骨上緣七寸。,針與腳成四十五度扎入，針深一寸至一寸八分。,腎臟炎，四肢浮腫，糖尿病，淋病，陽痿，早洩，遺精，滑精，夢遺，小便蛋白質，小便出血，子宮瘤，月經不調，腎虧之腰痛,與腎關、人皇合稱下三皇。下三皇合 用，可以脾肝腎並治。治療：尿酸高、多血癥、貧血症、 紅斑狼瘡、甲狀腺腫大。,孕婦禁針。,images/圖7-21_地皇穴.jpg,notes/地皇穴.md,179
四肢穴,七七,七七部位,腿外側穴位,圖7-22,當脛骨之內側，在內踝上四寸。；當脛骨之內側後緣，距內踝上四寸處是穴。；當脛骨之內側，在內踝上緣上四寸。 三陰交上兩寸。針深五分至寸半。,針深六分至一寸二分。,四肢痛，頸項痛，糖尿病,四肢穴配腎關治肘痛、肩痛甚效。 本穴在脾經上，主要作用在健脾，脾主四肢，故治四肢痛，又健脾故治糖尿病。,孕婦禁針。,images/圖7-22_四肢穴.jpg,notes/四肢穴.md,18
人皇穴,七七,七七部位,腿外側穴位,圖7-23,在脛骨之內側後緣，距內踝上三寸。；當脛骨之內側後緣，距內踝上三寸處是穴。；當脛骨之內側，在內踝上緣上三 寸。三陰交上一寸。針深五分至寸半。,針深六分至一寸二分。,淋病，陽痿，早洩，遺精，滑精，腰脊椎骨痛，脖子痛，頭暈，手麻，糖尿病，小便出血，腎臟炎，腎虧之腰痛,咽喉病、梅核氣、目視不明、舌 根痛。,孕婦禁針。,images/圖7-23_人皇穴.jpg,notes/人皇穴.md,18
側三里穴,七七,七七部位,腿外側穴位,圖7-24,在四花上穴向外橫開一寸五分。；當腓骨前緣，即四花上穴向外橫開一寸五分處是穴。；在四花上穴向外橫開一寸五分， 與足三里穴平行。,針深五分至一寸深。,牙痛，面部麻痺,偏頭痛、三叉神經痛、手腕扭傷疼 痛、腕管綜合徵、腳跟痛不能著地。,,images/圖7-24_側三里穴.jpg,notes/側三里穴.md,82
側下三里穴,七七,七七部位,腿外側穴位,圖7-25,在側三里穴直下二寸。；在腓骨前緣，即側三里穴直下二寸處 是穴。；在側三里穴直下二寸，故名側下 三里。 圖 7-25 側下三里穴,針深五分至一寸。 運用：側三里穴與側下三里穴同時取用，但單 足取穴：治左取右穴；治右取左穴。,同側三里穴,三叉神經痛、手腕扭傷疼痛、腕管綜合徵、腳跟痛不能著地。 183,,images/圖7-25_側下三里穴.jpg,notes/側下三里穴.md,183
足千金穴,七七,七七部位,腿外側穴位,圖7-26,在側下三里穴外（後）開五分，再直下二寸。；當腓骨前緣，即側下三里穴向後橫開 五分再直下二寸處是穴。；基本上此兩穴位於膽經上，外 踝尖上十寸，針深一寸至二寸。,針深五分至一寸。,急性腸炎，魚骨刺住喉管，肩及背痛，喉嚨生瘡，喉炎(火蛾病），扁桃腺炎，甲狀腺腫,"本穴常與足五金穴同時取用。 與“足五金”同,詳見“五”。![](images/684561c367ae8d7a3c00973ab36b74bf6accca91b6f22d47ec0b285221701b1c.jpg)",,images/圖7-26_足千金穴.jpg,notes/足千金穴.md,185
圖7-26 足千金穴,七七,七七部位,腿外側穴位,,在足千金穴直下二寸。；在腓骨前緣，即足千金穴直下二寸處是穴。；基本上此兩穴位於膽經上，外踝 尖上八寸，針深一寸至二寸。,針深五分至一寸。 運用：足千金與足五金穴通常同時取穴，除治 甲狀腺炎可雙足取針下針外，其他各症均單足取穴 下針。,,梅核氣，治療肩臂不能左右活動，尤 其特效。,,,notes/圖7-26足千金穴.md,185
七虎穴,七七,七七部位,腿外側穴位,圖7-28,在外踝後一寸半之直線上。；在外踝後一寸半之直線上取穴：當外踝尖直後一寸半之上二寸一穴， 又上二寸一穴，再上二寸一穴，共三穴。；在外踝後一寸半之直線上。即 在膀胱經上。,針深五分至八分。,肩骨痛，鎖骨炎，胸骨痛及腫脹，肋膜炎,本穴在太陽經與少陽經之間，可治少陽經之肋膜炎。又足太陽膀胱經與肺通，以下治上，能治肩骨、鎖骨及胸骨病。 踝太極此處對應胸背。,,images/圖7-28_七虎穴.jpg,notes/七虎穴.md,185
外三關穴,七七,七七部位,腿外側穴位,圖7-29,在外踝尖與膝蓋外側高骨之直線上。；當外踝尖與膝蓋外側高骨連線之 中點一穴，中點與該高骨之中點又一穴，中點 與外踝之中點又一穴。共三穴。；當外踝尖與膝蓋外側高骨 連線之中點一穴，中點與該高骨之中點又一 穴，中點與外踝之中點又一穴。共三穴。 186 圖7-29 外三關穴,針深一寸至一寸半。,肩桃腺炎，瘤，癌，喉炎，腮腺炎，肩臂痛，各種瘤,手紅腫、手臂腫脹發熱，肘痛（中穴主），三叉神經痛。肩臂痛 及肩不能左右舉抬，肘痛（中穴主）。對於青春痘療效亦佳。,,images/圖7-29_外三關穴.jpg,notes/外三關穴.md,187
光明穴,七七,七七部位,腿外側穴位,圖7-30,在內踝尖直後一寸之上二寸處。；當內踝尖之直後一寸又直上二寸處是穴。；內踝尖之直後一寸，當是踝骨骨緣， 又直上二寸處是穴。一般認應是交信，據《金鑑》 說：“復溜從照海行足內踝後，除踝上二寸許前旁骨陷 中。“《大成》說：“足內踝上二寸，筋骨陷中，前旁骨是 復溜。”則此穴當是復溜。 圖7-30 光明穴 體表定位在脛骨內側緣與跟腱之間中點，太溪穴上二寸。,針深五分至一寸。,眼散光及眼障，眼皮睜閉無力,雙手或雙腳指（趾）端麻木、小便不利、有汗及無汗、閃腰岔氣、腎 虧腰痛。 187,,images/圖7-30_光明穴.jpg,notes/光明穴.md,187
博球穴,七七,七七部位,腿外側穴位,,在正士穴上二寸五分。；針法：針一寸至二寸，以針尖抵骨效力最佳。；運用：與四花中穴配用，主治霍亂轉筋及腎虧。,,腿轉筋，霍亂，腰痠背痛，鼻出血,【維傑新用】月經痛，各種跌打損傷，均可先針阿是，再針 本穴位居膀胱經所行，能治腰痠背痛，腰連背痛尤有卓效。與正士互相倒馬治療背痛（尤其是膏育穴附近痛）或腰背痛效果極佳。如病況較重或病程較久，則於此穴周圍點刺出血效果更佳，久年痼疾往往愈於俄頃。 本穴因鄰近承山穴，治療腿抽筋亦極有效。與承山倒馬並用，療效更佳。此處（小腿肚）為塊狀之肉，主筋。本穴在筋下，以筋治筋，本穴有舒筋活絡，調理臟腑功能，同承山一…,,images/noref_博球穴.jpg,notes/博球穴.md,
四花穴,七七,七七部位,腿外側穴位,,在四花中穴向裡橫開一寸二分，當脛骨之外緣。；針法：針深一寸五分至二寸。,,腸胃病，心臟病，心跳，轉筋霍亂（嘔吐），心臟麻痺,"【維傑新用】退化性膝關節炎(膝關節骨刺)。 本穴取穴要注意由四花中穴向裡橫開兩寸，否則就針在骨頭上，不可能進針。 四花裡點刺出血治上述病變,效果更佳。但宜避開骨頭，離骨頭稍遠。",注意由四花中穴向裡橫開兩寸，否則就針在骨頭上，不可能進針,,notes/四花穴.md,
足五金穴,七七,七七部位,腿外側穴位,,在足千金穴直下二寸。；針法：針深五分至一寸。；運用：足千金與足五金穴通常同時取穴，除治甲狀腺炎可雙足取針下針外，其他各症均單足取穴下針。,,同足千金穴,【維傑新用】梅核氣，治療肩臂不能左右活動，尤其特效。 足千金與足五金合用，以治療喉部病變[魚骨刺住喉管、喉嚨生瘡、喉炎（火蛾病）、扁桃體炎、甲狀腺腫]為主，除外還可治急性腸炎、梅核氣。 穴名為“金”，與肺、大腸有關，位置在經穴範圍，亦與金有關。可治肺系喉部之病、腸炎，以及肩背痛。,,images/noref_足五金穴.jpg,notes/足五金穴.md,
